"V1" "V4"
"ENSG00000026950" 8
"ENSG00000186470" 7
"ENSG00000147400" 7
"ENSG00000177143" 7
"ENSG00000143093" 13
"ENSG00000132205" 21
"ENSG00000101306" 23
"ENSG00000154358" 159
"ENSG00000122966" 40
"ENSG00000106049" 7
"ENSG00000119523" 9
"ENSG00000177689" 12
"ENSG00000132256" 10
"ENSG00000138080" 32
"ENSG00000105137" 20
"ENSG00000001626" 46
"ENSG00000102158" 14
"ENSG00000127993" 13
"ENSG00000226372" 29
"ENSG00000124469" 12
"ENSG00000164221" 6
"ENSG00000007306" 9
"ENSG00000137766" 96
"ENSG00000170956" 7
"ENSG00000156928" 4
"ENSG00000135346" 4
"ENSG00000128829" 21
"ENSG00000240021" 13
"ENSG00000187583" 11
"ENSG00000135824" 9
"ENSG00000120519" 15
"ENSG00000126259" 19
"ENSG00000263812" 2
"ENSG00000047579" 3
"ENSG00000186501" 11
"ENSG00000206026" 5
"ENSG00000167220" 4
"ENSG00000205328" 19
"ENSG00000205327" 11
"ENSG00000164199" 156
"ENSG00000144847" 21
"ENSG00000105352" 7
"ENSG00000102781" 14
"ENSG00000005448" 7
"ENSG00000121211" 7
"ENSG00000197046" 4
"ENSG00000126653" 11
"ENSG00000124074" 5
"ENSG00000121988" 26
"ENSG00000170074" 1
"ENSG00000175414" 1
"ENSG00000185267" 5
"ENSG00000161618" 11
"ENSG00000169169" 24
"ENSG00000118496" 14
"ENSG00000222014" 2
"ENSG00000135436" 10
"ENSG00000143452" 14
"ENSG00000118690" 17
"ENSG00000161652" 3
"ENSG00000226784" 3
"ENSG00000161677" 6
"ENSG00000120696" 9
"ENSG00000105186" 24
"ENSG00000129646" 29
"ENSG00000136449" 25
"ENSG00000151005" 25
"ENSG00000189139" 52
"ENSG00000170088" 7
"ENSG00000178473" 2
"ENSG00000161640" 17
"ENSG00000151229" 7
"ENSG00000174348" 19
"ENSG00000122483" 25
"ENSG00000116205" 8
"ENSG00000188828" 13
"ENSG00000183476" 9
"ENSG00000198373" 20
"ENSG00000039600" 14
"ENSG00000164684" 14
"ENSG00000105865" 9
"ENSG00000175063" 4
"ENSG00000119397" 23
"ENSG00000134343" 29
"ENSG00000116852" 30
"ENSG00000083642" 34
"ENSG00000187239" 6
"ENSG00000157106" 54
"ENSG00000184155" 16
"ENSG00000186487" 68
"ENSG00000061987" 32
"ENSG00000179889" 6
"ENSG00000154310" 41
"ENSG00000184209" 2
"ENSG00000122859" 6
"ENSG00000091428" 25
"ENSG00000184672" 25
"ENSG00000114395" 1
"ENSG00000156920" 65
"ENSG00000144619" 51
"ENSG00000126062" 5
"ENSG00000275932" 2
"ENSG00000197745" 4
"ENSG00000137397" 3
"ENSG00000163781" 29
"ENSG00000164287" 17
"ENSG00000171368" 4
"ENSG00000104435" 8
"ENSG00000157992" 6
"ENSG00000182552" 1
"ENSG00000157064" 7
"ENSG00000103351" 5
"ENSG00000125872" 11
"ENSG00000174306" 12
"ENSG00000165102" 20
"ENSG00000149218" 9
"ENSG00000214655" 28
"ENSG00000198646" 35
"ENSG00000161328" 5
"ENSG00000100106" 50
"ENSG00000160207" 9
"ENSG00000157916" 3
"ENSG00000174684" 4
"ENSG00000102096" 10
"ENSG00000080561" 12
"ENSG00000196542" 6
"ENSG00000172765" 14
"ENSG00000189326" 4
"ENSG00000121440" 39
"ENSG00000130477" 64
"ENSG00000041515" 71
"ENSG00000228836" 6
"ENSG00000004487" 10
"ENSG00000188739" 11
"ENSG00000164306" 11
"ENSG00000170915" 6
"ENSG00000144028" 33
"ENSG00000131013" 9
"ENSG00000129116" 17
"ENSG00000105668" 7
"ENSG00000130706" 8
"ENSG00000130958" 6
"ENSG00000165188" 1
"ENSG00000196539" 2
"ENSG00000177462" 15
"ENSG00000238243" 18
"ENSG00000153230" 23
"ENSG00000111605" 10
"ENSG00000167005" 4
"ENSG00000060491" 5
"ENSG00000020577" 11
"ENSG00000040199" 20
"ENSG00000188994" 48
"ENSG00000133401" 66
"ENSG00000142784" 15
"ENSG00000130227" 12
"ENSG00000127663" 22
"ENSG00000099308" 26
"ENSG00000077254" 20
"ENSG00000188878" 14
"ENSG00000198346" 31
"ENSG00000277594" 8
"ENSG00000167654" 14
"ENSG00000042813" 29
"ENSG00000196739" 34
"ENSG00000169214" 33
"ENSG00000140526" 8
"ENSG00000123124" 28
"ENSG00000233412" 17
"ENSG00000206536" 10
"ENSG00000196098" 15
"ENSG00000111737" 2
"ENSG00000100360" 3
"ENSG00000163625" 52
"ENSG00000173890" 5
"ENSG00000100592" 18
"ENSG00000167112" 5
"ENSG00000137802" 24
"ENSG00000114805" 42
"ENSG00000090512" 16
